190,6.92,25.76,11.07
191,17.01,12.91,17.22
192,14.5,10.6,10.5
193,14.54,17.74,25.78
194,20.93,7.95,10.27
195,12.68,19.62,20
196,10.54,22.64,15.04
197,7.5,20.46,15.87
198,34.23,5.24,7.62
199,35.52,5.17,8.67
200,16.19,10.52,14.87
201,21.6,5.4,9.5
202,34.81,6.83,14.03
203,11.3,11.3,17.1
204,10.1,3.9,8.1
205,16.1,6.48,13.09
206,21.35,13.58,14.77
207,21.5,37.1,7.1
208,13.4,3.3,4.9
209,17.4,40.8,4.7
210,3.37,8.34,1.85
211,17.14,20.83,3.33
212,2.88,8.14,1.84
213,12.8,41.1,18.8
214,107.35,17.9,7.1
215,79.31,13.66,15.94
216,84.7,16.5,5.6
217,109.03,18.75,7.47
218,100.8,20.4,7.5
219,155.28,19.18,19.63
220,104.57,24.19,16.06
221,25.6,48.9,33.7
222,11.93,15.07,15.01
223,12.2,24,23.3
224,17.1,25.6,16.1
225,15.4,14.7,5.2
226,39.7,18.4,18.6
227,7.2,16.2,8.1
228,29.2,41.6,27.3
229,12.7,11.1,10.4
230,12.2,5.6,2.6
231,24.7,51.7,7.9
232,0.54,23,3.49
233,25.8,50.9,9.7
234,57.4,72.1,49.2
235,3.5,42.4,52
236,23.7,61.3,19.7
237,0.73,14.86,0.51
238,0,21.47,5.91
239,0.16,18.86,11.52
240,18,28.1,5.7
241,71.6,54.3,36.9
242,13.14,49.86,26.96
243,58.36,19.56,25.64
244,17.47,48.3,5.31
245,43.1,65.4,6.5
246,139.5,114.2,38.8
247,0.6,17.28,22.97
248,1.64,20.06,10.59
249,4.59,12.47,2.5
250,3.36,68.79,20.1
251,35.4,42.6,9.8
252,1.22,47.12,1.03
253,0.8,35.8,12.8
254,18.1,19.4,3.7
255,9.13,58.42,16.62
256,10.4,29.4,3.2
257,16.84,57.36,7.21
258,9.9,41.6,6.2
259,48.6,28.6,10.2
260,10.3,41.7,2.7
261,1.9,7.66,5.35
262,12.8,37.8,4.9
263,1.82,12.7,3.09
264,20.19,94.9,9.03
265,11.24,52.15,17.03
266,0.35,12.66,3.95
267,15.8,26.8,3
268,17.3,35.1,19.4
269,16.6,11.5,8.5
270,26.8,22.7,13.2
271,16.6,39.8,4.7
272,94.6,3.3,11
273,33.8,2.72,11.87
274,14.6,7.6,12.6
275,48.8,65.2,49.7
276,38.49,32.99,37.55
277,29.1,28.1,26.6
278,28.86,10.89,25.39
279,46.56,24.33,41.1
280,34.25,33.28,42.4
281,42.3,35.5,26.8
282,42.5,9.62,16.49
283,41.76,42.02,46.69
284,44.02,27.91,33.92
285,2.34,31.97,0.4
286,0.32,15.42,0.39
287,19.83,2.25,3.95
288,24.65,0.69,0.93
289,22.19,2.49,1.35
290,25.47,1.26,1.43
291,22.27,0.84,3.85
1200,27.1,4,4
1201,37.2,4.9,3
1202,35.6,4.6,3.2
1203,28.4,4.7,7.8
1204,33.1,8.2,12.8
1205,34,8.8,10.5
1206,27.6,7.5,5.9
1698,12.5,7.5,10
1699,7.5,4.5,6
1700,17,10.2,13.6
1701,12,7.2,9.6
1702,23,13.8,18.4
1703,14,8.4,11.2
1704,29.34,6.35,8.23
1705,28.86,5.21,6.68
1706,41.37,8.58,11.1
1707,39.89,6.84,8.75
1708,54.14,11.68,15.15
1709,49.16,7.84,10
1710,4,2.4,3.2
1711,6,3.6,4.8
1712,7,4.2,5.6
1713,10.5,6.3,8.4
1714,9,5.4,7.2
1715,12.5,7.5,10
1716,27.04,7.1,9.3
1717,22.04,4.1,5.3
1718,38.81,9.6,12.55
1719,33.81,6.6,8.55
1720,52.08,13,17
1721,43.08,7.6,9.8
1722,27.72,7.1,9.3
1723,22.72,4.1,5.3
1724,39.83,9.6,12.55
1725,34.83,6.6,8.55
1726,53.44,13,17
1727,44.44,7.6,9.8
1728,44.66,11.49,21.24
1729,369.56,6.52,16.1
1730,53.65,12.07,22.41
1731,49.53,9.21,23.64
1732,62.4,12.57,22.58
1733,51.03,10.11,24.84
1734,39.16,9.24,18.97
1735,34.56,6.37,16.62
1736,51.2,11.12,22.06
1737,48.08,8.86,24.09
1738,66,14.72,26.56
1739,59.38,10.36,25.79
1740,110.5,9.09,19.77
1741,106.45,6.52,17.82
1742,198.1,11.09,23.37
1743,194.49,8.53,25
1744,287.9,14.51,27.98
1745,280.31,9.55,26.41
1746,51.23,10.79,19.79
1747,47.13,8.22,17.84
1748,72.47,13.97,23.93
1749,69.35,11.71,25.96
1750,96.47,18.87,29.48
1751,81.1,14.01,28.53
1752,49.78,10.44,20.24
1753,45.18,7.57,17.89
1754,63.32,13.22,24.58
1755,60.2,10.96,26.56
1756,79.62,17.72,30.23
1757,72.5,13.06,29.06
1758,125.84,10.28,21.49
1759,122.24,8.01,19.95
1760,214.9,13.18,26.29
1761,212.28,11.22,28.72
1762,306.72,17.8,32.5
1763,299.1,12.84,30.93
1764,38.65,9.2,11.83
1765,33.65,6.2,7.83
1766,52.81,12.1,15.52
1767,48.31,9.4,11.92
1768,69.97,16.8,21.61
1769,60.47,11.1,14.01
1770,52.99,5.49,12.11
1771,52.99,5.49,12.11
1772,63.76,7.17,15.22
1773,64.76,7.77,16.02
1774,74.53,8.85,18.33
1775,75.53,9.45,19.13
1776,38.41,9.79,13.28
1777,33.41,6.79,9.28
1818,51.31,3.63,7.08
1819,67.12,4.65,8.17
